order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Welcome,Introduction,welcome/introduction,info-circle,/lessons/welcome/introduction,"Complete Intro to Product Management is a course taught by Brian Holt, a product manager at Snowflake. The course provides an introduction to product management and is designed for individuals already working in tech or looking to break into product management."
02A,What Is Product Management,What Does a PM Do,what-is-product-management/what-does-a-pm-do,person-circle-question,/lessons/what-is-product-management/what-does-a-pm-do,"Learn about the role of a product manager (PM) and its variations in different companies, including project managers, technical program/product managers (TPM or PMT), program managers, and product marketing managers (PMM). Discover the primary responsibilities of a PM, such as ideation, prioritization, planning, alignment, and filling gaps within the team."
02B,What Is Product Management,Why You Might Want To Be a PM,what-is-product-management/why-you-might-want-to-be-a-pm,person-circle-question,/lessons/what-is-product-management/why-you-might-want-to-be-a-pm,"Learn about the challenges and rewards of being a product manager. Discover the difficulties in meetings and email management, adjusting to a different sense of productivity, taking credit for collaborative work, and navigating the uncertainty of deciding what to prioritize. Explore the enjoyable aspects, including influencing what gets built, focusing on people-centered design, embracing learning from mistakes, and experiencing a variety of engaging tasks."
03A,Stakeholder Management,What Is a Stakeholder,stakeholder-management/what-is-a-stakeholder,people-group,/lessons/stakeholder-management/what-is-a-stakeholder,"Learn about the importance of stakeholders in product management and how they extend beyond just end users. Explore the diverse range of stakeholders involved in a product like Google Maps, including end users, business owners, third-party developers, and internal teams."
03B,Stakeholder Management,Why,stakeholder-management/why,people-group,/lessons/stakeholder-management/why,"Learn about the considerations involved in making product decisions and their impact on stakeholders using examples from Google Maps, such as increasing sponsored listings and improving the API. Explore the trade-offs between generating more revenue and maintaining a positive user experience."
03C,Stakeholder Management,Google Maps and Ordering Food,stakeholder-management/google-maps-and-ordering-food,people-group,/lessons/stakeholder-management/google-maps-and-ordering-food,"Learn how Google Maps is working to make it easier for users to order food from local restaurants, with a focus on improving the search and ordering experience."
04A,Communication,Audience,communication/audience,comments,/lessons/communication/audience,"Learn about principles of good communication in product management, including written communication and meetings. Understand the importance of knowing your audience and tailoring your communication to get what you need from them. Discover how to leverage opportunities for discovery by highlighting areas of unknown and inviting audience input."
04B,Communication,Say Less,communication/say-less,comments,/lessons/communication/say-less,"Learn how to provide the right amount of context in your communication, reduce surface area by focusing on the topic at hand, avoid convincing people who are already sold, prepare extensively but only share a fraction, and adopt a direct and efficient writing style for technical communication."
04C,Communication,Exercise,communication/exercise,comments,/lessons/communication/exercise,"Switching frontend frameworks from Backbone to Solid.js for better performance, easier recruitment, bug fixes, and faster development. Implementing an A/B testing tool (VWO) to test UIs, turn off problematic features, improve user experiences, and experiment faster. Convincing stakeholders to choose a social share button design that is consistent with the existing design system, allows code reuse, and aligns with the site's aesthetics."
05A,Technical Writing,Applying Previous Principles,technical-writing/applying-previous-principles,pencil,/lessons/technical-writing/applying-previous-principles,"Learn how to apply principles of good communication to technical writing, emphasizing the importance of understanding your audience and delivering a focused message. Discover the power of effective writing in influencing people and organizations."
05B,Technical Writing,Use Formatting,technical-writing/use-formatting,pencil,/lessons/technical-writing/use-formatting,"Learn how to drive understanding in your documents by using formatting effectively. Skim readers can quickly grasp the content through headings, bold and color, while longer documents may benefit from a table of contents. Emojis can also be used strategically to draw attention or add levity."
05C,Technical Writing,Formatting Exercise,technical-writing/formatting-exercise,pencil,/lessons/technical-writing/formatting-exercise,"The checkout flow redesign project is slightly behind schedule due to unexpected additional research and backend work. The team is incorporating UX feedback by moving the checkout button to the center instead of the right, aiming to alleviate user confusion. Although they will miss the end-of-quarter target, they are only two weeks behind and can work concurrently with UX research to expedite shipping."
05D,Technical Writing,Diagrams,technical-writing/diagrams,pencil,/lessons/technical-writing/diagrams,"Learn how to create diagrams to visually organize and communicate complex ideas, such as explaining an API migration. Tools like Google Drawings and Excalidraw can help you easily create effective diagrams."
05E,Technical Writing,Diagramming Exercise,technical-writing/diagramming-exercise,pencil,/lessons/technical-writing/diagramming-exercise,"Learn how to diagram and visualize the timeline of work using Google Drawings, Excalidraw, or any exercise tool of your choice, to effectively communicate the duration and overlapping nature of tasks in a formatting exercise. Find out how to showcase the timeline to the leadership team and coordinate design, UX research, and coding implementation efficiently."
05F,Technical Writing,Executive Summaries,technical-writing/executive-summaries,pencil,/lessons/technical-writing/executive-summaries,Learn how to write effective document summaries that capture the main points and encourage people to read your documents. Discover the concept of BLUF (bottom-line up front) and its benefits in saving time and improving communication. Find out how AI can help with summarization.
05G,Technical Writing,Executive Summary Exercise,technical-writing/executive-summary-exercise,pencil,/lessons/technical-writing/executive-summary-exercise,"Status update on the checkout flow project: new UX research findings, changes in button placement, and a minor delay of two weeks."
06A,Meetings,Applying Previous Principles,meetings/applying-previous-principles,person-chalkboard,/lessons/meetings/applying-previous-principles,"Learn principles of effective communication in meetings and verbal, synchronous communications. Cater your meetings to the participants, provide the right amount of context, prepare efficiently, and focus on planning instead of convincing those who already agree."
06B,Meetings,Meeting Prep,meetings/meeting-prep,person-chalkboard,/lessons/meetings/meeting-prep,"Learn how to make your meetings more effective and productive by setting clear intentions, creating an agenda, timeboxing discussions, making decisions beforehand, and determining when to use slide decks. Improve meeting outcomes with these practical tips."
06C,Meetings,Running the Meeting,meetings/running-the-meeting,person-chalkboard,/lessons/meetings/running-the-meeting,"Learn how to run a successful meeting by owning the space, managing tangents effectively, and utilizing inoculation theory to address potential concerns beforehand. These tips apply to both big companies and startups."
06D,Meetings,Exercise,meetings/exercise,person-chalkboard,/lessons/meetings/exercise,"Plan a one-hour meeting around the formatting exercise memo, involving executives, technical stakeholders, and team members. Address the delay, reasons behind it, and future plans while discussing design, research, and development processes. Expect tension but a shared goal of launching new features."
07A,Metrics,Stats and Graphs,metrics/stats-and-graphs,chart-column,/lessons/metrics/stats-and-graphs,"Learn the importance of basic stats for product managers and how it can improve their understanding and storytelling with numbers. Topics covered include sampling, p-values, and effective graphing techniques."
07B,Metrics,Team and Project Metrics,metrics/team-and-project-metrics,chart-column,/lessons/metrics/team-and-project-metrics,"Learn about the importance of metrics in product management, including team/organization metrics and project metrics. Discover key metrics for Netflix, such as sign-ups, retention, revenue, and watch-hours. Understand how CSAT (Customer Satisfaction) is a relative metric that should be tracked but not overemphasized."
07C,Metrics,Exercise,metrics/exercise,chart-column,/lessons/metrics/exercise,"This markdown document discusses various projects and their associated metrics that companies like Nike, Spotify, Delta Airlines, Strava, and PlayStation would track. The projects include improving the add to cart process for Nike, enhancing music recommendations for Spotify, detecting expiring credit cards for Delta Airlines, adding a share to Facebook button for completing bike rides on Strava, and enabling sign-in with QR code and phone for PlayStation."
08A,Product,User Stories,product/user-stories,shapes,/lessons/product/user-stories,Learn the basics of product management through user stories and prioritizing user needs. Validate user stories through research and keep users in mind throughout the product development process.
08B,Product,Product Specs,product/product-specs,shapes,/lessons/product/product-specs,"Learn how to write an effective product specification (spec) that proposes a project and aligns everyone involved. This guide covers the important sections of a spec, including the executive summary, problem statement, goals, key metrics, rollback criteria, timelines, designs, technical concerns, and appendix."
08C,Product,Example of a Spec,product/example-of-a-spec,shapes,/lessons/product/example-of-a-spec,"Netflix seeks to add a feature that allows users to watch shows together and engage in synchronized video chats similar to FaceTime. The goal is to provide a true living room chat experience for users while watching their favorite shows, leveraging video-chat-enabled devices."
08D,Product,Exercise,product/exercise,shapes,/lessons/product/exercise,"Write a product spec for your own project or idea, utilizing domain knowledge. Includes examples like integrating Spotify with Zoom, live player updates in ESPN's fantasy sports app, and assigning bounties on GitHub."
09A,Planning,Planning Tips,planning/planning-tips,calendar-check,/lessons/planning/planning-tips,"Learn about effective planning strategies in the tech industry, including the importance of having a plan, aligning with organizational culture, starting the planning process, sourcing ideas from various stakeholders, following themes, and structuring projects for completion. Find tips on milestone setting, prioritization, and communicating future needs through the cutline. Avoid common pitfalls by ensuring research and feasibility before adding projects to the roadmap."
09B,Planning,Prioritizing,planning/prioritizing,calendar-check,/lessons/planning/prioritizing,"Learn about prioritization methods for product managers, including the Complexity vs Business Value matrix and the RICE Method. These frameworks help assess the impact, risk, and cost of tasks, allowing you to prioritize effectively."
09C,Planning,Exercise,planning/exercise,calendar-check,/lessons/planning/exercise,"Create a prioritized roadmap for the next quarter of a direct-to-consumer e-bike company focused on growth and commuters. Key projects include making bikes compatible with Strava, redesigning onboarding flow, adding racing-mode for circular tracks, implementing dark mode for nighttime commuting, adding child mode for safety, and fixing a timezone bug."
10A,Conclusion,Congrats,conclusion/congrats,graduation-cap,/lessons/conclusion/congrats,"Congrats on finishing the course! This biased take on how to be a PM provides insights from a Microsoft, Stripe, and Snowflake perspective, acknowledging that there are multiple correct approaches to this role. Whether you're looking to enhance your PM skills or embark on a PM career, this class offers valuable lessons."
